Contact.Key,Resp,R2016,R2015,R2014,Age,Finish.Time,Swim.Time,Bike.Time,Run.Time,Min_Year,prior_races,club_aff,Finish.Rank,Swim.Rank,Bike.Rank,Run.Rank
1505007,0,0,0,0,52,23013,2180,11622,8692,2017,1,0,4,3,5,5
1505009,0,0,0,0,36,22649,2814,11532,7425,2017,1,0,4,6,5,2
1505019,0,1,0,0,40,24705,3154,11268,8931,2016,2,1,6,7,4,5
1505033,0,0,0,0,48,26500,2827,12891,9877,2017,1,0,7,6,7,6
1505034,0,0,0,0,58,21027,2188,9511,8902,2017,1,0,3,3,1,5
1505035,0,0,0,0,34,22953,3583,10693,8282,2017,1,0,4,8,3,4
1505060,0,0,0,0,41,28853,2925,12667,11780,2017,1,0,8,7,7,8
1505089,0,0,0,0,65,999999,999999,999999,999999,2017,1,0,10,10,10,10
1505108,0,0,0,0,37,20343,2178,9372,8190,2017,1,0,2,3,1,4
1505113,0,0,0,0,33,29284,4403,12422,11778,2017,1,0,8,8,6,8
1505114,0,0,0,0,41,999999,999999,999999,999999,2017,1,0,10,10,10,10
1505115,0,0,0,0,38,21766,1809,12270,7386,2017,1,0,3,2,6,2
1505131,0,0,0,0,60,18790,999999,11268,7294,2017,1,0,1,10,4,2
1505132,0,0,0,0,32,999999,999999,999999,999999,2017,1,0,10,10,10,10
1505139,0,0,0,0,50,999999,999999,999999,999999,2017,1,0,10,10,10,10
1505142,0,0,0,0,47,19716,999999,10314,8980,2017,1,0,2,10,2,5
1505165,0,0,0,0,30,31046,3642,14240,12215,2017,1,0,8,8,8,8
1505168,0,0,0,0,48,999999,999999,999999,999999,2017,1,0,10,10,10,10
1505178,0,0,0,0,49,22049,999999,12560,9279,2017,2,0,4,10,7,6
1505193,1,0,0,0,32,20187,2693,9112,7578,2017,1,0,2,6,1,3
1505200,0,0,0,0,36,19461,2140,10839,6034,2017,1,0,2,3,4,1
1505212,0,1,0,0,39,22535,2470,10804,8280,2016,2,0,4,5,3,4
1505215,0,0,0,0,51,26857,2896,12598,10598,2017,1,1,7,7,7,7
1505216,0,0,0,0,29,29823,3003,14788,11182,2017,1,1,8,7,8,8
1505228,1,0,0,0,36,17713,2229,9127,6074,2017,1,1,1,3,1,1
1505235,0,0,0,0,28,23928,999999,13270,10370,2017,1,0,5,10,7,7
1505255,0,0,0,0,37,29974,3488,13867,11337,2017,1,0,8,8,8,8
1505266,0,0,0,0,45,29354,2319,13956,12161,2017,1,1,8,4,8,8
1505270,0,0,0,0,41,999999,999999,999999,999999,2017,1,0,10,10,10,10
1505282,0,0,0,0,27,999999,999999,999999,999999,2017,1,0,10,10,10,10
1505292,0,0,0,0,37,17064,1958,9247,5465,2017,1,0,1,2,1,1
1505293,0,0,0,0,33,999999,2793,16430,999999,2017,2,0,10,6,8,10
1505300,0,0,0,0,56,999999,4604,999999,999999,2017,1,0,10,8,10,10
1505315,0,0,0,0,53,25916,2734,12293,9352,2017,1,0,7,6,6,6
1505322,0,0,0,0,33,999999,999999,999999,999999,2017,1,0,10,10,10,10
1505341,0,0,0,0,39,19332,2445,9543,6077,2017,3,0,2,4,1,1
1505353,0,0,0,0,62,999999,2985,999999,999999,2017,1,0,10,7,10,10
1505368,0,0,0,0,55,29476,2841,14592,11272,2017,1,0,8,6,8,8
1505384,0,0,0,0,34,27465,2643,14537,8856,2017,1,0,7,5,8,5
1505411,0,0,0,0,43,999999,2645,999999,999999,2017,1,0,10,6,10,10
1505413,0,0,0,0,53,19966,2048,9517,8011,2017,1,0,2,2,1,4
1505416,0,0,0,0,51,21021,1974,10795,7829,2017,1,0,3,2,3,3
1505428,0,0,0,0,27,25880,1750,12377,10999,2017,1,0,7,1,6,7
1505446,0,0,0,0,29,27878,3050,14808,9247,2017,1,0,7,7,8,6
1505449,0,0,0,0,47,999999,999999,999999,999999,2017,2,0,10,10,10,10
1505454,0,0,0,0,42,18602,2463,10002,5713,2017,1,0,1,5,2,1
1505455,0,0,0,0,30,28541,2163,13292,11863,2017,1,0,8,3,7,8
1505470,0,0,0,0,27,18274,1735,9305,6818,2017,1,0,1,1,1,2
1505472,0,0,0,0,55,27637,2457,13765,10587,2017,1,0,7,5,8,7
1505476,0,0,0,0,21,28990,3470,15096,9881,2017,1,0,8,8,8,6
1505492,0,0,0,0,41,999999,999999,999999,999999,2017,1,0,10,10,10,10
1505494,0,0,0,0,42,999999,999999,999999,999999,2017,1,0,10,10,10,10
1505497,0,0,0,0,25,23739,2626,9995,10591,2017,1,0,5,5,2,7
1505500,0,0,0,0,28,20821,2247,10180,7940,2017,1,0,3,3,2,3
1505506,0,0,0,0,25,26260,2825,12404,10380,2017,2,0,7,6,6,7
1505520,0,0,0,0,38,18722,2334,9227,6798,2017,1,0,1,4,1,2
1505523,0,0,0,0,38,999999,4482,12837,8360,2017,1,0,10,8,7,4
